File No,Player Name,Innings,Batting Position,Runs,Dots,1s,2s,3s,4s,6s,Balls Played,Wicket Method,Balls Bowled,Runs Given,Extras Given,Wickets Taken
297794.csv,AC Gilchrist,1,1,0,6,0,0,0,0,0,6,caught,0,0,0,0
297794.csv,ML Hayden,1,2,75,47,31,3,0,5,3,89,bowled,0,0,0,0
297794.csv,BJ Hodge,1,3,3,8,1,1,0,0,0,10,caught,0,0,0,0
297794.csv,MJ Clarke,1,4,27,25,10,1,1,3,0,40,stumped,54,35,4,3
297794.csv,A Symonds,1,5,87,38,31,4,0,9,2,84,caught and bowled,0,0,0,0
297794.csv,BJ Haddin,1,6,87,27,31,3,0,8,3,72,,0,0,0,0
297794.csv,JR Hopes,1,7,4,1,2,1,0,0,0,4,caught,44,30,3,1
297794.csv,B Lee,1,8,2,1,2,0,0,0,0,3,,46,36,8,0
297794.csv,GB Hogg,1,,0,0,0,0,0,0,0,0,,58,39,5,3
297794.csv,MG Johnson,1,,0,0,0,0,0,0,0,0,,59,41,6,1
297794.csv,SR Clark,1,,0,0,0,0,0,0,0,0,,36,14,1,2
297794.csv,G Gambhir,2,1,7,12,1,1,0,1,0,15,bowled,0,0,0,0
